username,MeanMoves,StdMoves,MeanEloDiff,WinRate,WinRate_PosEloDiff,WinRate_NegEloDiff,Mean_ACPL,Std_ACPL,Mean_Game_ACPL_Variance,Endgame_ACPL,After_opening_ACPL
2700172,37.25,15.813496345421738,15.625,31.25,40.0,16.666666666666664,41.63444127713043,15.497522812854239,10375.459178062501,57.72949204244031,60.7840211680871
AB2,32.375,13.657110480136955,-40.9375,50.0,20.0,63.63636363636363,67.65532178261151,29.924376411056326,16658.362732134094,53.178743315508015,121.31634592270166
ABUN,51.4375,16.997916538995792,-86.0625,65.625,50.0,72.72727272727273,50.03326650654838,23.517168024885894,11244.78973310508,60.15736949325184,55.87128456397273
ADRIRIEN,25.9375,10.592253458699586,44.8125,50.0,50.0,50.0,49.98001017501018,21.932663021102375,9127.782658506098,17.166666666666668,123.99388528138529
AJTO,31.8125,11.136838270652342,44.8125,15.625,11.538461538461538,33.33333333333333,,,,,
ALISHER4ik,33.625,15.99114338209331,58.5,50.0,41.66666666666667,75.0,,,,,
Abbott,29.125,9.618558450551031,48.4375,37.5,40.0,0.0,,,,,
Absolem,36.125,12.779540941155386,58.8125,40.625,27.27272727272727,70.0,,,,,
AceWestfall,21.5625,8.294325369391615,69.0,37.5,38.46153846153847,50.0,59.18264695330506,38.00732297578968,11673.001501057275,,89.69127680311891
Adam5118,40.5625,15.309991291092668,-19.25,53.125,55.00000000000001,50.0,,,,,
Agente034,36.0625,14.294375350698845,53.875,53.125,50.0,60.0,,,,,
Ahmed_Joseph,40.625,12.727267316016167,-125.3125,87.5,,87.5,,,,,
Aiglenoir,35.6875,17.4459880774922,24.6875,56.25,33.33333333333333,85.71428571428571,50.55217677408364,20.132883977759636,13091.902791713586,27.2720288970289,65.25225339083528
Aiss,38.25,19.04555941245448,-120.625,71.875,50.0,75.0,,,,,
Aladin86,42.9375,16.58299832157422,94.625,46.875,50.0,0.0,47.593232464208164,17.591327396452,7722.223812756765,19.412069956187604,44.482300952128774
AlamsyahWK,43.375,12.409002108684378,-24.0,75.0,66.66666666666666,80.0,46.05963112009968,19.653395034067387,7494.680112372661,99.9218324438719,55.58854558884592
Alarch,45.3125,19.509719799798937,26.6875,34.375,25.0,43.75,46.13606248801243,22.84171287725822,9573.124041700557,23.906497551880587,58.42310889862746
AleOrt,37.25,11.45716660726668,69.625,31.25,33.33333333333333,16.666666666666664,,,,,
Aleksandar974,35.5625,17.866052539196602,-35.6875,46.875,50.0,46.15384615384615,59.14483216294405,22.01598430736805,10452.9910562756,47.23216374269006,146.33280290426956
AleksandrB99,27.875,11.354147553500733,-45.3125,50.0,42.85714285714285,55.55555555555556,,,,,
AlexPavloxskiy,45.1875,18.16303480515669,-28.375,34.375,41.66666666666667,30.0,61.92968658806616,13.18155685885666,15771.358444813935,47.05032659300952,59.30914001218967
Alijon,38.75,19.590814173994914,-20.25,68.75,60.0,72.72727272727273,55.5189869887555,20.68859437162462,12074.004114193369,38.2051724137931,65.44579351158784
Allahu_Snackbar,33.5,11.633285577743433,-122.4375,59.375,75.0,57.14285714285714,,,,,
AndrzejRzeczycki,36.125,13.79794670714934,0.25,50.0,55.55555555555556,42.85714285714285,83.44146762720197,30.81283017603899,25832.03454699041,46.166326530612245,139.0371594425309
AnithaDoha,40.75,16.53077937263294,109.75,28.125,28.57142857142857,25.0,,,,,
Arlequin13,44.1875,19.1736581451393,-86.5,56.25,0.0,64.28571428571429,54.6053519750481,26.832846446566688,13230.223750593363,49.55583721833722,66.43503355030218
Armanabraham77,36.25,14.942110515809562,-81.3125,65.625,50.0,70.83333333333334,,,,,
Aurimas123,25.9375,16.445744130321376,127.125,15.625,16.666666666666664,0.0,98.75260067572607,39.041278155114355,23003.563961078613,44.16216216216216,125.90186403508773
BUSY,32.75,14.064138793399334,-109.625,78.125,,78.125,,,,,
BadMonkey14,32.75,17.43368387155547,-11.125,37.5,37.5,37.5,82.27893685643112,32.766536094515935,27474.31413583649,17.617886178861788,192.85507767026857
Bakyt,36.5625,14.338613368569966,73.9375,28.125,26.923076923076923,33.33333333333333,,,,,
Barbaros_V,30.3125,13.821330133770289,41.0,28.125,37.5,0.0,,,,,
Belial,29.1875,13.22733911261067,16.8125,50.0,22.22222222222222,85.71428571428571,,,,,
BiraGama,35.4375,11.552597110606774,29.25,40.625,35.0,50.0,44.71495193507857,18.978682184629754,5780.012355981831,31.040346907993968,61.539699337373214
BolagasinovB,30.1875,11.939953936259553,65.375,43.75,40.0,50.0,,,,,
BoskoRadic77,37.8125,13.69291179162903,-73.4375,43.75,33.33333333333333,46.15384615384615,42.383373673680694,17.830265358180235,5469.0184735539915,22.03628151260504,43.606910279665094
Brenno1981,33.625,14.541320435228709,-37.125,46.875,56.25,37.5,,,,,
Byuzich,28.375,8.823264701911645,-44.0,59.375,50.0,62.5,,,,,
CKSoupen,30.0625,11.73296637683753,69.5,34.375,30.0,100.0,,,,,
Caesium,31.125,13.220564788742324,33.25,31.25,33.33333333333333,25.0,,,,,
Cane53,38.375,18.348024416813924,-60.4375,50.0,66.66666666666666,46.15384615384615,,,,,
Carlinhos,40.75,16.510602654052335,29.75,37.5,31.818181818181817,50.0,40.00085448406217,21.477256778082168,7110.995100827587,68.86411474998431,50.40132207044242
Carlo_Rossi,31.375,8.88350531415762,-16.4375,68.75,60.0,72.72727272727273,37.704730234339074,28.53540604998733,9983.876894372914,36.5625,59.045554640454306
Cebozephalus,30.625,13.980343343423293,163.75,37.5,37.5,,,,,,
ChessLearningPro,31.4375,13.822535946779086,16.625,46.875,31.25,57.14285714285714,63.03420328657009,27.5799050912364,10966.266415459508,33.64791666666667,67.58945746781954
Commodore,27.5,10.570398920255249,-21.5625,56.25,60.0,50.0,,,,,
Correa12,36.3125,14.659325814420434,14.9375,28.125,12.5,43.75,74.32418976923938,37.67383321158551,19138.0977852918,44.270833333333336,106.41528862741269
CrazyModeOn,21.9375,9.41961605728528,-47.9375,43.75,16.666666666666664,60.0,,,,,
Croata,35.0625,16.258203057738783,77.75,34.375,33.33333333333333,37.5,,,,,
Crytash,29.875,10.738559804120229,-18.0625,31.25,16.666666666666664,40.0,53.190610651269964,22.25571633485582,8996.261891945327,75.77272727272727,80.87236335414474
Cube13,40.5625,19.6671257008576,-33.5,68.75,100.0,66.66666666666666,,,,,
Daeltan,27.25,15.355780670483671,-100.1875,50.0,,50.0,,,,,
Danzawhite,37.375,17.17701953192113,-8.0625,56.25,60.0,50.0,,,,,
DeCarless,29.3125,12.125558406385524,62.25,43.75,36.36363636363637,60.0,,,,,
DomeHugo,38.625,17.173137938847013,53.3125,37.5,41.66666666666667,25.0,55.17117688197472,19.013396118353135,11626.578865754806,341.4521986785145,74.91846365831329
Donar2013,29.75,8.528383981349183,69.125,56.25,41.66666666666667,100.0,,,,,
DoroshenkoAS,30.1875,17.486065881152342,46.9375,25.0,18.181818181818183,50.0,,,,,
DrGogo,40.1875,16.955702089071195,87.9375,43.75,40.0,100.0,,,,,
Dr_Perdyllo,34.5,18.740330840195966,-61.1875,56.25,75.0,50.0,70.7271842745375,22.303858231011347,16402.764750311515,43.766001024065545,81.01716786203013
DzikieSzachy,33.0625,19.77024279061843,38.1875,50.0,46.15384615384615,66.66666666666666,,,,,
E_Onegin,27.5625,8.854142156828821,-39.4375,62.5,50.0,70.0,48.598753442039886,33.89820472458202,10239.78943836924,,79.93383053221288
Edguy,37.1875,18.85459714057379,45.75,50.0,54.54545454545454,40.0,,,,,
ElAprendiz12,35.4375,14.527990225767637,-9.1875,65.625,50.0,77.77777777777779,,,,,
ElBahari,35.8125,20.024048042291547,-98.375,71.875,100.0,70.0,,,,,
Elvanrus,37.25,17.665408760248564,-12.0625,53.125,38.88888888888889,71.42857142857143,,,,,
ElysiumKing,38.8125,15.11387331780529,96.0625,28.125,28.125,,59.07311749255252,26.87148301207162,14233.344725359493,98.70750705585264,68.4205666063262
Entuzijasta,41.25,15.98123900077838,-37.875,46.875,37.5,50.0,33.52597906958231,15.32441822729991,4395.93333670262,21.79618437118437,41.12609356121559
ErkinBaltaev,30.5,10.917875251164944,23.6875,43.75,36.36363636363637,60.0,67.9922562681797,35.06695586949762,23657.253468065384,49.76470588235294,139.20789251234595
Ernestobula,32.6875,14.197270864500682,-17.375,59.375,28.57142857142857,83.33333333333334,,,,,
EsolcNeveton,32.0,17.508093366592874,33.1875,43.75,40.0,50.0,45.72582114971345,25.08811054398539,7163.403757495008,40.0218253968254,67.75157828282828
FelixSauceballs,38.5,19.452506265260524,-45.375,65.625,50.0,70.83333333333334,,,,,
Filip7,24.9375,11.664583147288203,158.8125,18.75,13.333333333333334,100.0,47.12481125082251,18.2481805960787,8148.553406473249,45.17045454545455,65.57258969624561
Flanks,31.3125,9.720896735041132,20.5625,40.625,25.0,66.66666666666666,80.15864688611575,41.19130639362459,23665.30774349495,91.30555555555556,67.77953327899887
Flash_gordon_456,34.5,12.889272024956773,-39.6875,46.875,28.57142857142857,61.11111111111112,,,,,
Forex555,32.375,13.918213486890718,49.6875,43.75,46.15384615384615,33.33333333333333,,,,,
FrenchPlay,41.6875,13.016495944249618,-74.875,68.75,60.0,72.72727272727273,53.718790130481246,21.949973346947672,15658.230247420992,47.922404504680046,105.49238451746054
GMjohn,29.5625,13.56450638001005,85.3125,62.5,66.66666666666666,50.0,,,,,
GaininOnYou,31.8125,17.818412761335765,-12.8125,56.25,40.0,70.0,57.26803091976733,18.058407134910578,10730.137040450185,39.81195054945054,71.09451489533011
Genri,35.4375,18.07380701457222,94.1875,37.5,37.5,,,,,,
GeorgyM89,40.625,12.451907484397722,24.9375,46.875,37.5,56.25,48.29016264752826,17.547663310254215,14077.175785368421,71.88666666666667,72.3867729536259
Geraldochess32,34.4375,13.26131592263754,48.4375,59.375,57.692307692307686,66.66666666666666,,,,,
GoEasyOnMe,27.0625,13.17304697731951,-6.75,34.375,18.75,50.0,52.68323744920444,31.542033604920693,12781.046805540063,43.73452380952381,43.07295287433155
Graphirus,39.6875,14.39314072744375,43.9375,28.125,37.5,18.75,,,,,
Greetsenko,30.1875,15.445468591143488,-21.875,62.5,20.0,81.81818181818183,60.62974379880566,32.05305675991617,12606.05965219758,3.0,69.14630064924182
Gregor_Baron,29.4375,16.75696372656256,0.25,65.625,50.0,75.0,61.13644652142937,21.649644997432162,15438.29813710449,83.82539682539682,81.7671164021164
Grougrou,31.875,15.059327120868758,94.0625,53.125,65.38461538461539,0.0,,,,,
Gsing,41.125,20.63290252646648,-20.1875,68.75,85.71428571428571,55.55555555555556,,,,,
Haendeljaguar,44.25,13.868429375143148,-66.0625,46.875,66.66666666666666,42.30769230769231,,,,,
Hard2kill74,33.9375,14.72172431023848,120.1875,40.625,38.46153846153847,50.0,64.8487809822554,26.083787216832917,13161.043042326852,69.51988636363636,122.87028260270196
HenryCas30,32.375,14.60079906489139,47.4375,43.75,30.76923076923077,100.0,88.87113889198584,42.779086526320064,18594.320505482163,77.29563492063492,69.37897611627368
Hoffie23,29.3125,13.874286768455285,13.25,62.5,75.0,57.14285714285714,,,,,
Howie,29.0,14.75578982411085,-3.0625,50.0,56.25,43.75,59.927245504478364,21.209466047105572,12645.012659393584,25.99305555555556,92.15881201400938
Huntermind,26.75,9.842086499653751,-29.75,50.0,14.285714285714285,77.77777777777779,75.67738100242794,51.294026853929445,22873.737046191152,0.0,105.80107802159527
Ieyteneyer,32.0625,17.12101535151075,-76.9375,65.625,100.0,60.71428571428571,61.262993285276046,29.85286174213247,13573.886688064513,23.28974358974359,37.962768115942026
Ivan1992,31.5625,14.1325569755323,112.25,40.625,36.66666666666666,100.0,,,,,
Ivorybags,33.8125,12.864518387150502,86.5,28.125,32.142857142857146,0.0,51.30344966696736,31.44011504669268,11356.813360837059,43.205,58.40660313113099
Iwan_Gracz,28.5625,13.421220759180835,145.5,56.25,56.25,,41.95962214829181,25.092552832717853,5882.863007767521,20.015625,68.7241341991342
J434,33.375,16.5282586297932,-12.0625,46.875,64.28571428571429,33.33333333333333,53.858272435767795,24.334461214108966,17015.33073190008,44.51851851851851,57.2217905690645
JDS62,42.9375,15.364325562809457,-54.0,46.875,25.0,60.0,82.48159432023841,27.416538858156642,25295.745747463498,64.36039991754276,98.39410014736211
JESUSKING,38.9375,14.649089846585465,-87.5,53.125,0.0,56.66666666666666,,,,,
Janis112,38.8125,19.25346289199253,15.0,40.625,33.33333333333333,50.0,48.72801658689798,20.440704926741564,8070.746745055887,53.738364975619874,51.664822967873356
Jason150789,28.75,19.709557749139545,-45.9375,62.5,50.0,70.0,46.800580095424166,23.964082143756176,12199.419424845402,81.65223577235773,61.998296429580876
Javadseda,48.125,13.778606605894517,-17.375,50.0,50.0,50.0,45.43429401830936,14.676659646522928,5966.450182867528,22.19422675026124,60.690926236900765
Jayago1,33.875,12.904133704618326,-111.625,34.375,66.66666666666666,26.923076923076923,,,,,
JeanDF,33.8125,13.619685507871807,-47.0,62.5,100.0,60.0,,,,,
JelevIvan,35.375,16.045248517863474,16.0,56.25,45.45454545454545,80.0,,,,,
Jeverett91,29.625,11.406869275426397,-58.25,75.0,100.0,71.42857142857143,,,,,
Jeyhun,29.25,11.3107618369999,41.625,50.0,61.11111111111112,35.714285714285715,56.29286879974675,28.16551427900737,13465.893929284153,13.755555555555556,44.39807026307026
Jo_Long,26.5625,11.730125034855057,3.8125,56.25,37.5,75.0,,,,,
JosielPlens,39.1875,21.924776699737063,-10.125,62.5,57.14285714285714,66.66666666666666,65.22371983362568,30.566854473233565,20787.32858128042,32.75388758929132,70.48893243165969
JrRibeiro,30.3125,15.965457504667173,-17.5625,37.5,37.5,37.5,,,,,
Julma_Jamppa,26.0,14.993331851193052,67.0625,50.0,45.45454545454545,60.0,,,,,
Juri37,41.6875,14.568087268638484,-75.5625,40.625,100.0,36.66666666666666,,,,,
KAKTANK,29.5,12.38816639647154,70.875,34.375,40.0,25.0,53.599700993501024,27.231587459799563,14855.063230778247,12.055555555555555,142.53363457809158
KARAT23,37.75,19.30284953057449,27.5,37.5,50.0,16.666666666666664,65.065820037674,18.743120709108478,14262.443804822144,44.82208994708995,45.93851659474129
Kamampla,41.375,21.709828803255604,5.4375,21.875,0.0,35.0,49.45319280055974,22.559428447825624,9281.96808729889,37.2404065997816,73.28839426624349
Karasakas,37.5,13.875638123464208,37.375,65.625,83.33333333333334,42.85714285714285,56.77606430864894,22.393771287147114,13931.152760213592,49.5726911976912,58.211422270459785
KentClark,42.8125,15.744708105688506,137.875,37.5,37.5,,,,,,
KievUA,45.8125,24.09486459808397,21.0,40.625,25.0,66.66666666666666,66.11353996368453,38.98864985696364,19570.472253835524,37.44588927165395,58.3266828642279
Komarudin-Garut,33.25,9.787747442593728,8.9375,37.5,12.5,62.5,50.24861746756066,18.331118052418443,9624.807895902579,35.78,69.51223798021623
Kontrolor,41.375,17.579817974029197,-126.8125,71.875,16.666666666666664,84.61538461538461,39.37798012176216,7.529669748915388,5937.117122219983,54.76181191895996,57.9872379393966
KostandinR,40.75,16.258331197676263,19.25,37.5,44.44444444444444,28.57142857142857,45.03666918248248,25.945437115537853,8021.674444131937,69.70284807784807,69.95687327342092
Kraizy,38.5,15.688637076984518,8.3125,40.625,33.33333333333333,45.0,,,,,
Ksv2012,31.875,15.072602075731096,91.0625,37.5,33.33333333333333,100.0,58.00409915756215,27.624016440433728,11455.196404401153,53.24404761904762,93.43700237670826
Lars_Kuehne,27.125,13.499999999999998,-20.75,43.75,37.5,50.0,,,,,
Liam_Krakowsky,29.9375,14.006992301466198,-31.5625,59.375,66.66666666666666,57.692307692307686,,,,,
LinaForsa,39.5625,13.386404794915377,-39.0,56.25,33.33333333333333,61.53846153846154,,,,,
LittleHorse78,31.75,15.626899884494044,-14.9375,75.0,62.5,87.5,,,,,
Loginov19510410,42.0625,14.762424146008902,-65.0625,56.25,83.33333333333334,40.0,46.789427991234135,21.804674116737832,11149.317184567275,33.86452631107651,61.42621724632595
Lu4ik,39.0,22.981151697278648,-12.5,43.75,35.0,58.333333333333336,67.42242327547828,32.85947230720136,15058.72460957928,53.6587177528354,51.06355098383789
Lucavert,34.125,17.312327014779576,73.5625,50.0,54.54545454545454,40.0,,,,,
LuciusSwartzchild,41.6875,17.453629040021067,10.3125,50.0,55.55555555555556,42.85714285714285,46.892478508525,15.833519065904516,8446.481355612106,51.21642292490119,45.75600961665834
Lyolik28,41.5,17.65597160547483,60.1875,21.875,17.857142857142858,50.0,,,,,
MANDRILL215,45.3125,17.70016478266045,-38.4375,40.625,33.33333333333333,45.0,,,,,
MLasker,25.375,8.87599759651462,138.875,31.25,31.25,,,,,,
ManOnHorse,38.5625,19.856044419773035,-49.25,65.625,33.33333333333333,85.0,,,,,
MasonJar,23.375,9.569918146637065,28.1875,56.25,44.44444444444444,71.42857142857143,78.09987815282649,36.17333160135331,16481.637339267254,12.75,43.86284722222223
Matthew_Castle,43.3125,11.400109648595487,-163.9375,59.375,,59.375,41.34011521997635,13.633160080777458,7412.479848935516,112.62524824032178,55.76487216446243
Mehrdad376,36.625,15.248497193712783,96.0625,18.75,18.75,,,,,,
Meteoking,37.1875,20.103793174423576,-32.1875,53.125,42.85714285714285,61.11111111111112,52.017394109730255,19.101984659359616,8788.045966062255,19.78492063492064,57.92973082614045
Miko80,30.25,13.005127194046713,35.875,40.625,35.0,50.0,,,,,
Miloszverka,35.25,11.55566239266851,7.5,46.875,25.0,60.0,83.74225583453173,47.108422063875544,32275.127194687164,98.86724386724389,122.44940688132417
Mindaugas777,28.625,10.203757477844457,3.4375,50.0,40.0,66.66666666666666,,,,,
MirrorPlay,35.8125,14.878255946178635,-33.375,40.625,40.0,40.909090909090914,59.30092302865292,21.72975963384453,12428.428707080124,58.37955346650999,80.66608401345243
Misha19701309,39.5625,17.408690358553685,-73.375,68.75,50.0,80.0,38.699174196962495,15.8330324538144,6182.604100675059,32.25113035113035,48.3147299953228
Miw,36.25,21.034891648560176,-79.625,53.125,50.0,54.16666666666666,,,,,
Mr-Pink,31.5625,17.021432567991056,-7.9375,62.5,33.33333333333333,80.0,,,,,
Mundo2015,47.875,12.64317997973611,-55.6875,31.25,33.33333333333333,30.0,52.13073521951448,20.682804832357597,10533.418106733854,65.17776627412991,73.04698054824043
MusAlger,35.125,18.54678768232745,-4.625,62.5,60.0,66.66666666666666,49.221877595754535,15.713978429480465,8320.901431208906,24.5723574252986,59.39327314169276
NARSPI,41.5,17.181385275931625,-14.9375,59.375,50.0,71.42857142857143,64.8604528952399,25.4244388785243,17993.90872117198,78.55482174988754,90.85043801347156
Napastnik,30.25,8.35463942968217,-76.375,68.75,0.0,78.57142857142857,48.503636855636344,30.956125286218168,10805.551597915504,12.0,59.49023426715734
Nevenoe,28.75,16.027060449959833,14.8125,50.0,55.55555555555556,42.85714285714285,,,,,
Nikk53,31.75,13.097073464455075,-34.4375,50.0,50.0,50.0,42.92350473246226,16.93803738959578,6217.954127281297,53.44285714285714,52.37363127069009
Nishi2402,34.5,11.454256850621082,-39.8125,81.25,71.42857142857143,88.88888888888889,55.71274554020663,22.388054596737483,15539.767893025684,131.91666666666666,73.71175038197097
Novatek,33.25,15.355780670483671,7.0,62.5,70.0,50.0,,,,,
Nuprow,29.5625,11.389871231347028,14.1875,37.5,22.22222222222222,57.14285714285714,,,,,
Officier_Martin,38.0625,15.386005546166512,-56.375,46.875,25.0,50.0,,,,,
Onetreehill,27.0,8.024961059095553,53.25,25.0,20.0,100.0,89.02487411144772,41.89949933063451,28367.355334852295,0.0,160.96905513468013
OnkelHotte,23.5625,7.983054970790735,69.6875,28.125,30.0,25.0,,,,,
PAULOPABA,28.625,13.170041761513133,82.875,25.0,28.57142857142857,0.0,,,,,
Papyrus,38.4375,20.13940995494489,145.625,21.875,21.875,,,,,,
Pierrot28,26.875,9.142392101268316,-38.875,59.375,25.0,80.0,107.82608141522358,67.6633185105332,35322.04469753522,,120.10711973277058
PionOneX66,39.75,18.455351527402563,15.375,53.125,55.00000000000001,50.0,,,,,
Popo4ka_Po,31.875,11.938034455749683,80.125,50.0,41.66666666666667,75.0,,,,,
Propal,34.375,16.414932226482083,79.625,31.25,33.33333333333333,0.0,67.64189368144547,28.880077408502597,16448.23647339372,49.47955182072829,87.60154327154328
Rafaguty,38.125,22.729936207565565,-34.0,43.75,25.0,54.54545454545454,,,,,
Ram57,37.25,12.331531399897852,79.1875,25.0,21.428571428571427,50.0,,,,,
Ray_Suit,36.3125,14.992081243109643,40.8125,59.375,50.0,75.0,85.67419995059338,39.22221965795867,27056.603330952574,50.10416666666667,81.4881328988472
Republican1,40.875,14.347473645210158,101.75,28.125,30.76923076923077,16.666666666666664,62.79169148436304,21.4521656522486,17276.452261384504,22.221031746031745,61.321441574175985
Rezik,30.3125,15.567996017471229,-67.625,65.625,25.0,79.16666666666666,,,,,
Riham321,33.125,14.948244044034068,36.3125,46.875,55.00000000000001,33.33333333333333,46.33513243467579,24.559310941478792,10560.072374007086,51.07510737628385,130.90997406532796
Riodem,45.375,22.77388855685388,66.1875,37.5,27.27272727272727,60.0,65.662941982808,22.480224054014336,15559.931162703822,122.28578289957474,91.98383697297618
Roden,27.4375,12.247278609280238,-5.625,62.5,85.71428571428571,44.44444444444444,,,,,
Rodripay,36.5,15.453155017665486,-40.0,62.5,40.0,72.72727272727273,,,,,
RustyShackleford,35.0,12.38816639647154,25.1875,46.875,40.909090909090914,60.0,60.05196760317624,28.179326288563377,14227.12214970929,105.38400488400488,98.97786626044194
SANCH,28.625,10.320691191323704,60.625,31.25,22.22222222222222,42.85714285714285,67.8758757836942,38.20997722944691,19226.077173305246,5.5,70.06321490686815
SANOGICELLO,44.8125,15.617164702126098,-114.125,56.25,66.66666666666666,53.84615384615385,,,,,
SHOHRAT_TURKMEN,34.875,20.88340649095992,19.75,53.125,68.18181818181817,20.0,,,,,
SIiNAa,24.375,10.177589760514683,76.4375,31.25,33.33333333333333,0.0,,,,,
STANISLAV2,35.25,19.91147073087939,-89.1875,59.375,,59.375,56.4823758836964,26.64054344547262,15650.560888986884,47.329282407407405,107.39062604610285
SameFish,25.4375,10.701830061567351,-8.6875,50.0,28.57142857142857,66.66666666666666,,,,,
Santafesino,35.1875,12.613319679344263,59.0,46.875,40.0,58.333333333333336,,,,,
Schwert,34.6875,14.849102105290184,-55.5,43.75,25.0,50.0,55.96561560701851,24.12145944068771,13189.589584065552,52.49305555555557,64.03458155958155
Sergej-kms,42.5,17.076299364909246,132.9375,12.5,13.333333333333334,0.0,,,,,
Sergey88,36.9375,13.183164769255267,-76.875,78.125,50.0,100.0,,,,,
Shahmat2015,36.5625,12.633124448580933,2.375,50.0,37.5,62.5,54.163467630956475,31.22340972478117,11810.324369100572,57.71547619047619,49.25497056616919
Shahnam200,36.75,12.917688131653692,12.1875,43.75,33.33333333333333,57.14285714285714,64.20156768880162,29.95392552527205,19807.840997233878,21.653153153153152,79.25785593663302
SharkanovA,37.8125,10.722056705688512,-64.875,46.875,25.0,60.0,,,,,
Shestopalov,30.5625,15.283842230713237,102.25,34.375,34.61538461538461,33.33333333333333,86.34363629851696,44.86020823795257,33603.541003387145,33.142857142857146,48.60426757220236
Shok33,36.875,14.800337833982034,16.375,50.0,25.0,75.0,51.5862044792361,15.960611436895135,8659.556363995294,63.19014285006932,56.80917707874528
Shturmovic,30.25,11.096546009156782,-83.625,78.125,100.0,75.0,,,,,
Siam,47.1875,17.497499821403057,99.0625,34.375,25.0,100.0,,,,,
SiavashHuman,30.875,15.42238632637635,121.5,37.5,40.0,0.0,47.65948443230965,17.60097913141217,7514.087564477162,28.985000000000003,66.55653513153514
Siberia_n,25.1875,14.616058520225849,-96.75,78.125,0.0,83.33333333333334,66.77977394251724,32.05019265122352,14630.686789823847,35.19444444444444,73.73075396825398
Sicilia,41.6875,17.277031959608493,58.5625,34.375,39.285714285714285,0.0,,,,,
Sinemb,35.1875,11.046681251247666,-29.1875,65.625,75.0,56.25,,,,,
SirJamo,28.3125,14.929696357707122,111.375,18.75,21.428571428571427,0.0,,,,,
Skittles_17,32.0,13.46105493637107,-17.5625,53.125,50.0,56.25,,,,,
Smalltiger,30.5625,9.612275138245542,29.8125,50.0,57.14285714285714,44.44444444444444,,,,,
Snowden,32.0,11.809600614189568,-67.75,59.375,90.0,45.45454545454545,62.43833510681313,25.075538673076974,12440.306261949949,51.16984126984128,83.61733012358012
Sori2015,32.125,10.255892615142445,-86.375,62.5,0.0,71.42857142857143,,,,,
Stojanovic_S,30.8125,11.617336183480273,57.6875,50.0,36.36363636363637,80.0,50.57457366533069,18.98093956099305,7567.930898873986,40.017857142857146,50.08943546034339
Surgate,28.3125,13.128689957493856,81.3125,21.875,11.538461538461538,66.66666666666666,,,,,
SzoliChess,36.9375,11.036114956511344,-32.9375,56.25,37.5,62.5,,,,,
